winner,starter,total_turns,win_direction,ab_pruning,t_tables,depth,turn_times,average_turn_time,turn_nodes,average_turn_nodes
Minimax,Minimax,9,vertical,True,True,1,"[0.005, 0.008, 0.017, 0.012, 0.013]",0.01,"[19, 37, 55, 55, 55]",44.2
Minimax,Minimax,7,vertical,True,True,2,"[0.064, 0.134, 0.154, 0.209]",0.14,"[361, 748, 856, 1178]",785.75
Minimax,Greedy,6,vertical,True,True,3,"[0.8404, 1.7722, 1.6288]",1.41,"[4651, 9752, 8802]",7735.0
Minimax,Greedy,10,horizontal,True,True,4,"[21.3541, 24.2492, 36.675, 29.8864, 11.1661]",24.67,"[122823, 137979, 212900, 175356, 70468]",143905.2
Minimax,Greedy,10,vertical,True,True,5,"[27.0679, 41.2805, 66.9125, 57.1283, 36.407]",45.76,"[125065, 197494, 344544, 335577, 220254]",244586.8
Minimax,Minimax,5,horizontal,True,True,6,"[235.773, 858.605, 1296.4147]",796.93,"[1335273, 4403983, 6859958]",4199738.0
Minimax,Minimax,3,horizontal,True,True,1,"[0.009, 0.007]",0.01,"[37, 37]",37.0
Minimax,Greedy,10,lru,True,True,2,"[0.15, 0.205, 0.225, 0.212, 0.1671]",0.19,"[838, 1153, 1278, 1210, 991]",1094.0
Minimax,Minimax,7,horizontal,True,True,3,"[1.9271, 2.3727, 2.9461, 1.7625]",2.25,"[10754, 13767, 17069, 10805]",13098.75
Minimax,Minimax,9,horizontal,True,True,4,"[13.1661, 13.9106, 27.5955, 45.3274, 18.5647]",23.71,"[78529, 79649, 157024, 258067, 109973]",136648.4
Minimax,Minimax,7,vertical,True,True,5,"[13.8087, 20.753, 58.0856, 91.618]",46.07,"[69593, 84775, 272202, 473020]",224897.5
Minimax,Minimax,11,lrd,True,True,6,"[461.4612, 289.9178, 1004.3895, 5893.6406, 12230.1207, 594.6601]",3412.36,"[2688677, 1619017, 5662059, 9731229, 13905252, 3707918]",6219025.33
Minimax,Minimax,7,vertical,True,True,1,"[0.006, 0.004, 0.012, 0.011]",0.01,"[19, 19, 55, 55]",37.0
Minimax,Greedy,10,lru,True,True,2,"[0.06, 0.15, 0.214, 0.286, 0.1922]",0.18,"[363, 840, 1205, 1667, 1114]",1037.8
