winner,starter,total_turns,win_direction,ab_pruning,t_tables,depth_m,turn_times_m,average_turn_time_m,turn_nodes_m,average_turn_nodes_m,depth_n,turn_times_n,average_turn_time_n,turn_nodes_n,average_turn_nodes_n

Minimax,Negamax,4,horizontal,True,True,1,"[0.008, 0.01]",0.01,"[37, 55]",46.0,1,"[0.0045, 0.008]",0.01,"[19, 37]",28.0

Negamax,Negamax,13,vertical,True,True,2,"[0.0551, 0.174, 0.214, 0.202, 0.213, 0.3155]",0.2,"[344, 958, 1247, 1183, 1247, 1797]",1129.33,2,"[0.058, 0.072, 0.1475, 0.176, 0.17, 0.294, 0.134]",0.15,"[324, 406, 833, 961, 923, 1644, 827]",845.43

Negamax,Negamax,14,lru,True,True,3,"[0.867, 1.6039, 2.6696, 2.1497, 2.2004, 1.6891, 0.5904]",1.68,"[4980, 8711, 14887, 12419, 13151, 10358, 3718]",9746.29,3,"[0.444, 1.1619, 1.6679, 2.1201, 1.8123, 1.845, 0.8609]",1.42,"[2512, 6616, 9303, 12164, 11131, 11380, 6045]",8450.14

Negamax,Negamax,11,lrd,True,True,4,"[16.2152, 21.0223, 45.6018, 33.4769, 28.1962]",28.9,"[96305, 123835, 266813, 198652, 173958]",171912.6,4,"[2.3634, 6.2902, 10.3434, 23.7526, 7.7475, 7.574]",9.68,"[13418, 34587, 57663, 134938, 46306, 45333]",55374.17

Negamax,Minimax,8,vertical,True,True,5,"[14.1077, 38.6445, 87.3826, 89.3913]",57.38,"[66101, 178474, 440348, 478784]",290926.75,5,"[13.556, 45.61, 57.2313, 55.8697]",43.07,"[72818, 249148, 322165, 335836]",244991.75

Minimax,Negamax,4,horizontal,True,True,1,"[0.008, 0.011]",0.01,"[37, 55]",46.0,1,"[0.006, 0.008]",0.01,"[19, 37]",28.0
Minimax,Negamax,12,vertical,True,True,2,"[0.159, 0.224, 0.399, 0.308, 0.304, 0.197]",0.27,"[900, 1298, 2254, 1710, 1699, 1175]",1506.0,2,"[0.067, 0.162, 0.23, 0.169, 0.262, 0.148]",0.17,"[384, 909, 1296, 963, 1458, 836]",974.33
Negamax,Negamax,13,lrd,True,True,3,"[0.9881, 1.2229, 2.1297, 1.9058, 3.2614, 2.5723]",2.01,"[5614, 6878, 11873, 11025, 17858, 14500]",11291.33,3,"[0.5137, 0.8581, 1.3985, 1.5462, 2.2264, 2.3298, 1.323]",1.46,"[3012, 4921, 7879, 8839, 12617, 13405, 8274]",8421.0
Negamax,Minimax,10,vertical,True,True,4,"[10.732, 25.1113, 43.1201, 39.1938, 23.5633]",28.34,"[62331, 145829, 251696, 232193, 144918]",167393.4,4,"[6.1123, 11.6088, 9.9655, 10.4675, 6.6891]",8.97,"[33721, 65284, 55154, 59531, 41272]",50992.4
