winner,starter,total_turns,win_direction,ab_pruning,t_tables,depth,turn_times,average_turn_time,turn_nodes,average_turn_nodes
Minimax,Random,8,horizontal,True,True,5,"[9.5357, 13.0428, 35.1504, 37.8128]",23.89,"[37841, 58757, 156232, 180130]",108240.0
Minimax,Random,14,vertical,True,True,5,"[9.4921, 13.4899, 18.4908, 46.8912, 38.1014, 26.7017, 22.9595]",25.16,"[37665, 57495, 72108, 201924, 167967, 126952, 123802]",112559.0
Minimax,Random,8,horizontal,True,True,5,"[9.7989, 33.5092, 38.557, 44.3772]",31.56,"[39003, 141430, 170122, 205661]",139054.0
Minimax,Minimax,11,horizontal,True,True,5,"[0.003, 14.3739, 17.919, 51.0977, 57.3049, 41.8262]",30.42,"[1, 60225, 73658, 226977, 267320, 214027]",140368.0
Minimax,Minimax,15,vertical,True,True,5,"[0.003, 23.3568, 14.9666, 38.2241, 53.9238, 42.4029, 53.7562, 65.4261]",36.51,"[1, 93839, 66005, 164223, 237513, 197970, 250547, 335162]",168157.5
Minimax,Minimax,7,horizontal,True,True,5,"[0.003, 14.7691, 38.4653, 39.2843]",23.13,"[1, 62181, 167592, 192337]",105527.75
Minimax,Random,12,horizontal,True,True,5,"[9.5201, 13.4633, 24.5336, 28.4523, 41.495, 33.2247]",25.11,"[37665, 57495, 99632, 108532, 182944, 160764]",107838.67
Minimax,Random,10,vertical,True,True,5,"[9.4451, 12.9964, 32.8318, 52.7715, 97.449]",41.1,"[37665, 58757, 149702, 247106, 474489]",193543.8
Minimax,Random,8,vertical,True,True,5,"[9.8697, 17.9748, 36.4179, 92.7618]",39.26,"[39047, 74101, 155458, 425839]",173611.25
Minimax,Random,18,vertical,True,True,5,"[9.7812, 12.5993, 27.1088, 55.424, 37.1161, 20.3324, 41.3008, 30.6236, 27.3992]",29.08,"[39003, 54514, 107556, 246859, 153058, 93987, 191743, 163042, 147884]",133071.78
Minimax,Random,8,horizontal,True,True,5,"[9.9029, 16.4895, 34.5666, 47.0446]",27.0,"[39637, 71084, 158549, 219750]",122255.0
Minimax,Random,14,horizontal,True,True,5,"[9.5767, 17.4183, 38.8951, 49.7564, 60.5546, 74.6096, 41.4149]",41.75,"[38408, 74928, 168125, 207413, 267113, 360602, 215229]",190259.71
Minimax,Minimax,7,horizontal,True,True,5,"[0.003, 13.5802, 33.0595, 37.2544]",20.97,"[1, 58131, 153360, 186863]",99588.75
Minimax,Random,15,lru,True,True,5,"[9.4638, 14.9899, 15.9883, 42.3633, 63.1872, 65.1881, 50.3782]",37.37,"[37841, 63679, 64012, 185700, 287610, 350571, 280770]",181454.71
Minimax,Random,10,vertical,True,True,5,"[9.7629, 16.9365, 57.4771, 200.9157, 117.3996]",80.5,"[39003, 69930, 257004, 917468, 600274]",376735.8
Minimax,Random,12,horizontal,True,True,4,"[6.5632, 8.0994, 23.7451, 27.2617, 28.1217, 20.3658]",19.03,"[36054, 45045, 127673, 144685, 150028, 110148]",102272.17
Minimax,Random,16,lrd,True,True,4,"[6.5988, 7.7945, 18.277, 30.8994, 50.0973, 32.9886, 26.9471, 18.0019]",23.95,"[36085, 43972, 103285, 166272, 269523, 179509, 149963, 110990]",132449.88
Minimax,Random,16,lrd,True,True,4,"[6.7441, 9.5011, 20.2113, 32.1212, 39.7181, 18.2253, 20.773, 17.9315]",20.65,"[36085, 51603, 107396, 172749, 213818, 101428, 118403, 105957]",113429.88
Minimax,Random,10,vertical,True,True,4,"[6.6379, 11.3275, 20.4889, 25.6428, 32.2145]",19.26,"[36054, 61599, 110966, 137984, 175189]",104358.4
Minimax,Minimax,7,horizontal,True,True,4,"[0.002, 10.3088, 20.2419, 10.422]",10.24,"[1, 56470, 110962, 57808]",56310.25
Minimax,Minimax,19,lrd,True,True,4,"[0.003, 9.0226, 11.2824, 24.8572, 23.9745, 17.714, 20.7033, 17.2616, 8.4715, 0.7857]",13.41,"[1, 49428, 61192, 134186, 129451, 95977, 115648, 101073, 50857, 6011]",74382.4
Minimax,Random,12,horizontal,True,True,4,"[6.6501, 8.171, 13.7176, 34.471, 27.3565, 20.9968]",18.56,"[36607, 45804, 74026, 183999, 148243, 114307]",100497.67
Minimax,Minimax,7,horizontal,True,True,4,"[0.002, 8.3526, 9.1865, 18.8816]",9.11,"[1, 45134, 50530, 102241]",49476.5
Minimax,Random,12,vertical,True,True,4,"[6.7398, 10.8155, 21.492, 40.3307, 31.6838, 36.112]",24.53,"[36449, 58563, 115234, 216026, 171290, 198423]",132664.17
Minimax,Minimax,7,horizontal,True,True,4,"[0.002, 8.3552, 13.3753, 16.9365]",9.67,"[1, 45419, 73649, 92054]",52780.75
