winner,starter,total_turns,win_direction,ab_pruning,t_tables,depth,turn_times,average_turn_time,turn_nodes,average_turn_nodes

Minimax,Random,14,vertical,True,True,4,"[6.3033, 8.275, 18.9314, 26.749, 28.501, 20.1941, 21.6942]",18.66,"[36059, 48125, 107013, 150565, 160732, 118513, 133424]",107775.86

Minimax,Minimax,7,horizontal,False,True,4,"[0.002, 37.56, 159.7252, 150.8218]",87.03,"[1, 215335, 907844, 879404]",500646.0

Minimax,Random,14,vertical,False,False,4,"[36.2849, 78.7345, 154.2834, 550.9657, 651.5123, 575.6113, 1291.0827]",476.92,"[208081, 459127, 868537, 3069031, 3704887, 3497887, 7582795]",2770049.29

Minimax,Minimax,17,vertical,True,True,4,"[0.003, 9.5576, 10.9588, 18.876, 28.3211, 19.9575, 9.0336, 13.0489, 10.0177]",13.31,"[1, 54813, 62243, 107155, 161197, 115029, 53169, 79049, 64162]",77424.22

Minimax,Minimax,13,horizontal,True,True,4,"[0.001, 8.3971, 10.5494, 23.7667, 34.6964, 24.9789, 22.8582]",17.89,"[1, 48422, 60638, 135882, 199872, 144316, 135495]",103518.0

Minimax,Random,12,horizontal,False,True,4,"[26.5851, 60.45, 192.3688, 324.3113, 365.4832, 272.7551]",206.99,"[153463, 354081, 1085836, 1815233, 2089495, 1658936]",1192840.67

Minimax,Minimax,7,horizontal,True,False,4,"[0.002, 19.9375, 40.7939, 46.0037]",26.68,"[1, 116078, 240229, 273811]",157529.75

Minimax,Minimax,7,horizontal,False,False,4,"[0.002, 48.8907, 230.2019, 449.6904]",182.2,"[1, 281539, 1335133, 2673796]",1072617.25

Minimax,Minimax,7,horizontal,True,True,4,"[0.003, 7.2693, 7.0561, 10.1915]",6.13,"[1, 42143, 41420, 60528]",36023.0

Minimax,Minimax,13,vertical,False,True,4,"[0.003, 38.2829, 70.1064, 120.2846, 413.4404, 829.6239, 1326.5887]",399.76,"[1, 220379, 407964, 675199, 2310092, 4750693, 8034291]",2342659.86

Minimax,Minimax,7,horizontal,False,False,4,"[0.002, 48.8251, 98.7313, 269.8406]",104.35,"[1, 281539, 574111, 1574950]",607650.25

Minimax,Random,10,vertical,True,True,4,"[6.2711, 18.9796, 11.3965, 23.599, 34.4372]",18.94,"[36443, 110901, 65240, 135071, 198076]",109146.2

Minimax,Random,14,vertical,False,True,4,"[26.6905, 61.0837, 103.5216, 352.2234, 774.8424, 912.9795, 801.5884]",433.28,"[153463, 354658, 581889, 1984555, 4432344, 4700367, 4747009]",2422040.71

Minimax,Random,12,horizontal,True,False,4,"[19.8382, 24.3741, 112.3523, 61.8617, 41.0791, 27.6583]",47.86,"[114893, 140824, 641245, 353566, 235486, 160903]",274486.17

Minimax,Minimax,17,lru,False,True,4,"[0.002, 55.8576, 82.4722, 340.4647, 357.115, 419.7663, 632.5588, 865.9651, 907.0126]",406.8,"[1, 321525, 470088, 1325421, 1998864, 2441955, 3663778, 5176147, 5591360]",2332126.56

Minimax,Minimax,13,vertical,False,False,4,"[0.002, 67.5361, 319.7719, 187.268, 600.4858, 35667.5144, 2000.8148]",5549.06,"[1, 387739, 1847593, 1059499, 3369709, 8603506, 12035713]",3900537.14

Minimax,Minimax,7,horizontal,True,True,4,"[0.003, 14.3181, 16.6093, 13.0159]",10.99,"[1, 81010, 92499, 75244]",62188.5

Minimax,Random,14,vertical,False,False,4,"[35.7538, 99.1794, 34586.6803, 487.0586, 770.6967, 1484.3933, 1640.1321]",5586.27,"[208081, 570169, 2221087, 2764549, 4368307, 8779198, 10264387]",4167968.29

Minimax,Random,14,vertical,False,True,4,"[27.5936, 61.2976, 191.0335, 194.8817, 627.6493, 648.7317, 616.6367]",338.26,"[153463, 354081, 1067571, 1084149, 3531368, 3706165, 3837650]",1962063.86

Minimax,Random,14,vertical,True,False,4,"[19.9649, 21.6595, 36.0331, 68.7167, 97.5786, 47.165, 36.4525]",46.8,"[116156, 127630, 205427, 391513, 559840, 276954, 221692]",271316.0

Minimax,Minimax,9,vertical,False,False,4,"[0.002, 67.8607, 128.6209, 1362.8746, 1633.6643]",638.6,"[1, 387739, 730459, 7691686, 9190084]",3599993.8

Minimax,Minimax,13,vertical,True,True,4,"[0.002, 8.3956, 17.1482, 15.6657, 18.4981, 16.4287, 23.7003]",14.26,"[1, 48422, 99188, 89344, 105806, 95190, 141018]",82709.86

Minimax,Random,17,horizontal,False,True,4,"[26.6153, 131.3854, 102.948, 240.1313, 416.7308, 1359.9548, 1076.7668, 645.636]",500.02,"[153463, 760852, 581889, 1344698, 2342753, 7888281, 6511942, 3999889]",2947970.88

Minimax,Random,8,horizontal,True,False,4,"[20.0785, 43.7973, 49.7888, 27.408]",35.27,"[116687, 259068, 295032, 159358]",207536.25

Minimax,Random,12,vertical,False,False,4,"[35.9754, 78.3475, 153.3978, 1401.3936, 1708.6161, 2870.4554]",1041.36,"[208081, 459127, 868537, 7904905, 9618565, 16407070]",5911047.5

Minimax,Random,12,vertical,True,True,4,"[6.3112, 7.6254, 17.7747, 14.6481, 31.8891, 20.9188]",16.53,"[36625, 44895, 101087, 83124, 184067, 124783]",95763.5

Minimax,Random,12,vertical,False,True,4,"[26.6149, 60.5303, 92.8705, 192.8183, 621.7809, 1923.2456]",486.31,"[153463, 354081, 525689, 1084149, 3531368, 3683972]",1555453.67

Minimax,Random,12,lru,True,False,4,"[33.0805, 96.4539, 101.1502, 99.1057, 331.0724, 127.4143]",131.38,"[113923, 327668, 341117, 334179, 1121386, 439960]",446372.17
