winner,starter,total_turns,win_direction,ab_pruning,t_tables,depth,turn_times,average_turn_time,turn_nodes,average_turn_nodes
Greedy,Greedy,3,horizontal,True,True,1,[0.008],0.01,[37],37.0

Negamax,Greedy,10,lrd,True,True,2,"[0.061, 0.1245, 0.159, 0.1462, 0.115]",0.12,"[379, 701, 895, 848, 671]",698.8

Negamax,Greedy,12,vertical,True,True,3,"[1.3665, 1.9638, 1.9686, 1.7061, 1.575, 0.451]",1.51,"[7775, 11233, 11190, 10049, 9669, 3343]",8876.5

Negamax,Greedy,12,vertical,True,True,4,"[2.3539, 8.3493, 15.6683, 25.024, 11.3838, 6.3044]",11.51,"[14146, 45585, 87804, 143295, 65741, 39739]",66051.67

Negamax,Greedy,4,vertical,True,True,1,"[0.009, 0.012]",0.01,"[37, 55]",46.0

Negamax,Greedy,10,lru,True,True,2,"[0.056, 0.12, 0.15, 0.205, 0.136]",0.13,"[344, 678, 841, 1175, 773]",762.2

Negamax,Negamax,11,lru,True,True,3,"[0.3519, 1.079, 2.3934, 4.8683, 2.0355, 1.779]",2.08,"[1932, 6058, 13380, 27461, 12053, 10696]",11930.0

Negamax,Greedy,12,vertical,True,True,4,"[6.5387, 7.9075, 16.8355, 12.5076, 15.2494, 6.9405]",11.0,"[37084, 43558, 94624, 71101, 88352, 44624]",63223.83

Negamax,Negamax,7,vertical,True,True,1,"[0.009, 0.006, 0.012, 0.012]",0.01,"[37, 19, 55, 55]",41.5

Negamax,Negamax,5,vertical,True,True,2,"[0.115, 0.12, 0.134]",0.12,"[645, 677, 748]",690.0

Negamax,Greedy,4,horizontal,True,True,3,"[0.9995, 1.8351]",1.42,"[5860, 10941]",8400.5

Negamax,Greedy,10,lru,True,True,4,"[2.2482, 9.2289, 18.9635, 21.735, 10.459]",12.53,"[13560, 49764, 104965, 122061, 62330]",70536.0

Negamax,Negamax,9,lrd,True,True,1,"[0.008, 0.008, 0.008, 0.012, 0.015]",0.01,"[37, 37, 37, 55, 73]",47.8

Negamax,Negamax,9,vertical,True,True,2,"[0.058, 0.072, 0.152, 0.174, 0.202]",0.13,"[324, 406, 833, 926, 1135]",724.8

Negamax,Negamax,9,lrd,True,True,3,"[0.7583, 0.8617, 1.392, 2.4337, 2.0874]",1.51,"[4436, 4921, 7879, 13623, 12401]",8652.0

Negamax,Greedy,8,vertical,True,True,4,"[2.4677, 8.0406, 14.9163, 13.1142]",9.63,"[14599, 44002, 83906, 75540]",54511.75

Greedy,Greedy,9,vertical,True,True,1,"[0.006, 0.009, 0.012, 0.011]",0.01,"[19, 37, 55, 55]",41.5

Negamax,Greedy,8,horizontal,True,True,2,"[0.078, 0.106, 0.15, 0.114]",0.11,"[421, 589, 837, 634]",620.25

Negamax,Greedy,12,vertical,True,True,3,"[1.38, 1.9709, 1.9845, 1.7319, 1.5834, 0.459]",1.52,"[7775, 11233, 11190, 10049, 9669, 3343]",8876.5

Negamax,Negamax,11,lrd,True,True,4,"[5.6918, 6.9588, 13.5828, 13.9698, 15.8608, 7.7193]",10.63,"[32058, 37956, 76177, 77300, 90211, 45096]",59799.67

Negamax,Greedy,8,lru,True,True,1,"[0.005, 0.009, 0.017, 0.016]",0.01,"[19, 37, 55, 73]",46.0

Greedy,Greedy,13,lru,True,True,2,"[0.06, 0.148, 0.215, 0.189, 0.2003, 0.151]",0.16,"[379, 827, 1212, 1063, 1122, 926]",921.5

Negamax,Negamax,9,lru,True,True,3,"[0.569, 0.9388, 1.6668, 2.5812, 1.7427]",1.5,"[3275, 5283, 9303, 14816, 10551]",8645.6

Negamax,Greedy,6,vertical,True,True,4,"[3.5326, 9.2168, 15.3804]",9.38,"[20571, 50312, 87134]",52672.33

Greedy,Greedy,9,vertical,True,True,1,"[0.006, 0.01, 0.012, 0.012]",0.01,"[19, 37, 55, 55]",41.5

