winner,starter,total_turns,win_direction,ab_pruning,t_tables,depth,turn_times,average_turn_time,turn_nodes,average_turn_nodes

Negamax,Negamax,11,vertical,True,True,1,"[0.002, 0.005, 0.005, 0.005, 0.008, 0.011]",0.01,"[1, 19, 19, 19, 37, 55]",25.0

Negamax,Random,14,vertical,True,True,2,"[0.056, 0.054, 0.084, 0.099, 0.1467, 0.2161, 0.142]",0.11,"[324, 302, 469, 557, 818, 1218, 816]",643.43

Negamax,Negamax,15,horizontal,True,True,3,"[0.002, 0.395, 0.447, 1.1171, 2.833, 2.3166, 1.6405, 0.973]",1.22,"[1, 2263, 2674, 6360, 16146, 13324, 10028, 6482]",7159.75

Negamax,Negamax,11,vertical,True,True,4,"[0.002, 2.2383, 5.4541, 6.9314, 14.1195, 10.3629]",6.52,"[1, 12418, 31266, 38302, 79816, 57690]",36582.17

Negamax,Negamax,7,horizontal,True,True,5,"[0.002, 9.2253, 9.0009, 19.5229]",9.44,"[1, 50940, 53878, 114296]",54778.75

Negamax,Negamax,9,vertical,True,True,1,"[0.002, 0.005, 0.008, 0.008, 0.011]",0.01,"[1, 19, 37, 37, 55]",29.8

Negamax,Negamax,9,horizontal,True,True,2,"[0.002, 0.048, 0.059, 0.168, 0.1382]",0.08,"[1, 267, 330, 956, 799]",470.6

Negamax,Random,10,vertical,True,True,3,"[0.37, 0.3932, 0.5767, 1.032, 1.748]",0.82,"[2088, 2221, 3268, 5902, 10170]",4729.8

Negamax,Negamax,9,vertical,True,True,4,"[0.002, 2.3607, 2.9009, 3.8657, 5.8244]",2.99,"[1, 13087, 15918, 21065, 32823]",16578.8

Negamax,Random,14,vertical,True,True,5,"[6.8607, 24.9831, 27.4349, 56.4393, 100.262, 22.8629, 19.0437]",36.84,"[36688, 135391, 152618, 313456, 563487, 136949, 122085]",208667.71

Negamax,Random,8,horizontal,True,True,1,"[0.006, 0.005, 0.008, 0.007]",0.01,"[19, 19, 37, 37]",28.0

Negamax,Random,12,horizontal,True,True,2,"[0.053, 0.061, 0.088, 0.125, 0.148, 0.1]",0.1,"[305, 343, 495, 702, 838, 563]",541.0

Negamax,Random,12,horizontal,True,True,3,"[0.349, 0.4083, 1.0315, 1.156, 1.1101, 1.1274]",0.86,"[1981, 2321, 5982, 6550, 6695, 6859]",5064.67

Negamax,Random,16,vertical,True,True,4,"[1.719, 2.8431, 2.9265, 4.0031, 3.9803, 3.9596, 6.7923, 4.1441]",3.8,"[9428, 15667, 16042, 21457, 22003, 22184, 39775, 26883]",21679.88

Negamax,Negamax,11,horizontal,True,True,5,"[0.002, 11.2596, 18.6246, 30.3042, 76.3243, 48.9092]",30.9,"[1, 60805, 100959, 162490, 426432, 285077]",172627.33

Negamax,Negamax,7,horizontal,True,True,1,"[0.003, 0.008, 0.008, 0.007]",0.01,"[1, 37, 37, 37]",28.0

Negamax,Random,8,horizontal,True,True,2,"[0.054, 0.0596, 0.1415, 0.065]",0.08,"[306, 325, 806, 373]",452.5

Negamax,Random,12,vertical,True,True,3,"[0.351, 0.403, 0.6331, 1.6029, 1.6718, 2.0258]",1.11,"[1946, 2282, 3470, 9068, 9583, 12696]",6507.5

Negamax,Random,14,vertical,True,True,4,"[1.7436, 2.697, 2.8625, 7.4685, 9.3428, 4.423, 7.7441]",5.18,"[9488, 15096, 15497, 41369, 51529, 25112, 43281]",28767.43

Negamax,Random,16,vertical,True,True,5,"[6.9265, 9.5774, 18.5969, 45.403, 97.5336, 33.2057, 52.5742, 23.3532]",35.9,"[36688, 52123, 97706, 243794, 545349, 190688, 303149, 148208]",202213.12

Negamax,Negamax,7,horizontal,True,True,1,"[0.002, 0.006, 0.008, 0.008]",0.01,"[1, 19, 37, 37]",23.5

Negamax,Random,12,horizontal,True,True,2,"[0.054, 0.057, 0.13, 0.141, 0.133, 0.165]",0.11,"[306, 324, 733, 767, 711, 907]",624.67

Negamax,Random,14,lru,True,True,3,"[0.38, 0.5844, 1.0622, 0.9641, 1.9388, 1.4342, 1.9319]",1.19,"[2098, 3274, 5857, 5409, 10989, 8288, 11346]",6751.57

Negamax,Random,16,lru,True,True,4,"[1.7622, 2.2509, 2.405, 9.2635, 9.1096, 17.757, 18.5151, 9.711]",8.85,"[9325, 12736, 14238, 49764, 49431, 97358, 104305, 57673]",49353.75

Negamax,Random,18,vertical,True,True,5,"[6.8359, 18.1618, 24.791, 44.0155, 36.3814, 16.0197, 25.8645, 34.7409, 21.2812]",25.34,"[36161, 100061, 138039, 242706, 208010, 101447, 163056, 215470, 135022]",148885.78

Negamax,Random,12,lrd,True,True,1,"[0.004, 0.005, 0.005, 0.009, 0.012, 0.011]",0.01,"[19, 19, 19, 37, 55, 55]",34.0

Negamax,Negamax,7,horizontal,True,True,2,"[0.002, 0.053, 0.058, 0.067]",0.04,"[1, 288, 316, 393]",249.5

Negamax,Negamax,7,horizontal,True,True,3,"[0.002, 0.437, 0.7902, 0.5309]",0.44,"[1, 2469, 4705, 3665]",2710.0

Negamax,Negamax,11,vertical,True,True,4,"[0.002, 3.7021, 2.8064, 5.9395, 10.0064, 21.5361]",7.33,"[1, 20289, 15635, 32475, 55573, 121414]",40897.83

Negamax,Random,12,horizontal,True,True,5,"[6.8737, 10.0319, 25.6666, 35.0171, 54.8687, 36.3212]",28.13,"[36265, 54596, 136334, 189555, 315346, 213580]",157612.67

Negamax,Negamax,7,horizontal,True,True,1,"[0.003, 0.006, 0.01, 0.009]",0.01,"[1, 19, 37, 37]",23.5

Negamax,Negamax,7,horizontal,True,True,2,"[0.003, 0.049, 0.082, 0.076]",0.05,"[1, 267, 463, 440]",292.75

Negamax,Random,14,vertical,True,True,3,"[0.366, 1.01, 1.023, 1.1066, 1.444, 1.3911, 1.1741]",1.07,"[2062, 5723, 5795, 6290, 8298, 8350, 7232]",6250.0

Negamax,Random,16,horizontal,True,True,4,"[1.7185, 2.3271, 2.6208, 6.6523, 11.7325, 7.8503, 8.3741, 4.8127]",5.76,"[9330, 13076, 14218, 36649, 66032, 45579, 49659, 30456]",33124.88

Negamax,Random,11,vertical,True,True,5,"[6.7072, 12.927, 12.5972, 34.5593, 31.0169]",19.56,"[35625, 70889, 66772, 189006, 175834]",107625.2

Negamax,Random,8,horizontal,True,True,1,"[0.006, 0.005, 0.008, 0.007]",0.01,"[19, 19, 37, 37]",28.0

Negamax,Negamax,11,horizontal,True,True,2,"[0.002, 0.051, 0.096, 0.097, 0.152, 0.115]",0.09,"[1, 286, 554, 537, 853, 656]",481.17

Negamax,Negamax,13,horizontal,True,True,3,"[0.002, 0.4388, 0.4405, 1.1255, 1.0882, 0.9177, 0.8651]",0.7,"[1, 2391, 2600, 6521, 6681, 6157, 6032]",4340.43

Negamax,Negamax,13,vertical,True,True,4,"[0.003, 2.2741, 2.5515, 4.7804, 10.173, 14.286, 14.2002]",6.9,"[1, 12418, 14234, 27816, 56076, 80760, 85231]",39505.14

Negamax,Random,14,vertical,True,True,5,"[6.8686, 24.8039, 27.4195, 41.8678, 44.2663, 74.8898, 49.0768]",38.46,"[36497, 135391, 152777, 231034, 247037, 441558, 299360]",220522.0

Negamax,Negamax,7,horizontal,True,True,1,"[0.002, 0.006, 0.005, 0.008]",0.01,"[1, 19, 19, 37]",19.0

Negamax,Negamax,11,horizontal,True,True,2,"[0.003, 0.052, 0.056, 0.095, 0.109, 0.122]",0.07,"[1, 286, 312, 519, 605, 689]",402.0

