winner,starter,total_turns,win_direction,ab_pruning,t_tables,depth,turn_times,average_turn_time,turn_nodes,average_turn_nodes
Minimax,Random,8,horizontal,True,True,1,"[0.005, 0.005, 0.008, 0.008]",0.01,"[19, 19, 37, 37]",28.0

Minimax,Random,12,horizontal,True,True,2,"[0.06, 0.067, 0.064, 0.127, 0.2461, 0.135]",0.12,"[343, 388, 364, 726, 1384, 779]",664.0

Minimax,Minimax,17,horizontal,True,True,3,"[0.001, 0.512, 0.566, 1.1663, 1.7062, 1.356, 1.5127, 1.027, 0.6454]",0.94,"[1, 2902, 3169, 6610, 9722, 8109, 10099, 6587, 4281]",5720.0

Minimax,Minimax,17,vertical,True,True,4,"[0.001, 9.0917, 14.275, 14.6323, 38.6056, 47.4055, 69.7147, 19.9554, 17.0695]",25.64,"[1, 53313, 84936, 88298, 220025, 267883, 400796, 118836, 107496]",149064.89

Minimax,Minimax,15,vertical,True,True,5,"[0.002, 13.4165, 17.7634, 31.8705, 52.9118, 31.0424, 27.1692, 22.3859]",24.57,"[1, 60852, 75545, 148979, 277718, 178036, 165895, 150163]",132148.62

Minimax,Minimax,7,horizontal,True,True,1,"[0.002, 0.005, 0.008, 0.007]",0.01,"[1, 19, 37, 37]",23.5

Minimax,Minimax,11,horizontal,True,True,2,"[0.003, 0.061, 0.077, 0.131, 0.137, 0.139]",0.09,"[1, 343, 431, 749, 775, 804]",517.17

Minimax,Minimax,16,lrd,True,True,3,"[0.001, 0.4161, 0.8347, 1.001, 1.1808, 1.069, 1.5287, 1.654]",0.96,"[1, 2343, 4774, 5652, 7179, 7094, 10034, 9968]",5880.62

Minimax,Random,8,horizontal,True,True,4,"[6.0685, 9.5791, 16.5378, 10.3408]",10.63,"[35690, 57149, 97135, 62002]",62994.0

Minimax,Minimax,9,vertical,True,True,5,"[0.001, 13.5113, 18.2971, 54.8847, 129.6161]",43.26,"[1, 60431, 77452, 257354, 654688]",209985.2

Minimax,Random,8,horizontal,True,True,1,"[0.004, 0.005, 0.008, 0.007]",0.01,"[19, 19, 37, 37]",28.0

Minimax,Random,10,vertical,True,True,2,"[0.059, 0.062, 0.145, 0.216, 0.255]",0.15,"[343, 356, 832, 1244, 1473]",849.6

Minimax,Random,12,horizontal,True,True,3,"[0.3474, 0.413, 0.576, 1.3771, 1.4688, 1.0067]",0.86,"[1948, 2337, 3263, 7857, 8652, 6231]",5048.0

Minimax,Random,8,horizontal,True,True,4,"[5.9144, 7.0622, 12.1289, 10.0591]",8.79,"[34907, 43616, 74251, 60436]",53302.5

Minimax,Random,12,horizontal,True,True,5,"[8.8472, 12.4193, 15.2816, 23.8644, 47.4826, 21.743]",21.61,"[38005, 57116, 65900, 100125, 222419, 112921]",99414.33

Minimax,Random,12,vertical,True,True,1,"[0.005, 0.008, 0.005, 0.008, 0.008, 0.011]",0.01,"[19, 37, 19, 37, 37, 55]",34.0

Minimax,Minimax,11,vertical,True,True,2,"[0.002, 0.065, 0.1353, 0.072, 0.2053, 0.2195]",0.12,"[1, 372, 780, 406, 1156, 1237]",658.67

Minimax,Minimax,11,vertical,True,True,3,"[0.002, 0.465, 1.1061, 3.3595, 3.7286, 1.9284]",1.76,"[1, 2656, 6359, 19590, 22253, 11689]",10424.67

Minimax,Minimax,13,vertical,True,True,4,"[0.002, 8.0508, 8.6249, 25.0711, 37.1609, 50.6801, 29.8292]",22.77,"[1, 47462, 51628, 144950, 217636, 298916, 186446]",135291.29

Minimax,Random,14,vertical,True,True,5,"[8.6356, 11.8139, 16.4002, 23.8231, 36.1739, 34.3134, 17.8178]",21.28,"[37039, 54760, 69252, 100239, 164434, 168878, 108560]",100451.71

Minimax,Minimax,7,horizontal,True,True,1,"[0.002, 0.008, 0.008, 0.006]",0.01,"[1, 37, 37, 37]",28.0

Minimax,Minimax,13,vertical,True,True,2,"[0.002, 0.061, 0.064, 0.08, 0.198, 0.24, 0.168]",0.12,"[1, 343, 362, 437, 1118, 1332, 973]",652.29

Minimax,Minimax,13,lru,True,True,3,"[0.002, 0.5104, 0.3782, 0.6755, 2.0898, 3.0171, 1.6452]",1.19,"[1, 2884, 2058, 3778, 11728, 17187, 10119]",6822.14

Minimax,Random,10,vertical,True,True,4,"[6.1743, 8.2267, 11.9594, 39.4504, 44.3478]",22.03,"[36144, 49296, 68771, 224592, 253723]",126505.2

Minimax,Random,14,vertical,True,True,5,"[8.9233, 12.7308, 18.0057, 58.1584, 67.0296, 71.4282, 38.941]",39.32,"[37693, 60796, 77787, 279180, 312753, 370693, 239065]",196852.43

Minimax,Minimax,13,vertical,True,True,1,"[0.002, 0.005, 0.009, 0.006, 0.008, 0.008, 0.011]",0.01,"[1, 19, 37, 19, 37, 37, 55]",29.29

Minimax,Minimax,7,horizontal,True,True,2,"[0.002, 0.06, 0.062, 0.0957]",0.05,"[1, 343, 354, 563]",315.25

Minimax,Random,14,vertical,True,True,3,"[0.3521, 0.4681, 1.1205, 1.7282, 2.643, 1.8847, 1.2428]",1.35,"[1983, 2618, 6393, 9611, 15030, 11519, 8052]",7886.57

Minimax,Random,14,lrd,True,True,4,"[5.9694, 8.2869, 6.984, 25.3818, 45.3326, 67.9783, 43.3417]",29.04,"[34907, 50324, 43213, 146264, 258213, 387728, 253839]",167784.0

Minimax,Minimax,9,vertical,True,True,5,"[0.002, 13.3228, 18.0793, 53.407, 98.1143]",36.59,"[1, 59353, 76395, 254800, 508480]",179805.8

Minimax,Random,12,vertical,True,True,1,"[0.005, 0.005, 0.008, 0.012, 0.008, 0.011]",0.01,"[19, 19, 37, 55, 37, 55]",37.0

Minimax,Random,10,vertical,True,True,2,"[0.06, 0.062, 0.0681, 0.149, 0.197]",0.11,"[344, 356, 391, 851, 1131]",614.6

