negamax,14
negamax,17
negamax,16
negamax,17
negamax,14
negamax,12
negamax,10
negamax,14
negamax,14
negamax,17
negamax,10
negamax,10
negamax,12
negamax,12
negamax,17
negamax,16
negamax,16
negamax,18
negamax,18
negamax,18
negamax,18
negamax,19
negamax,13
negamax,13
negamax,19
minimax,17
minimax,16
minimax,16
negamax,17
negamax,17
minimax,16
minimax,16
minimax,16
minimax,16
minimax,16
minimax,16
minimax,16
minimax,16
negamax,17
minimax,16
minimax,16
negamax,17
negamax,17
negamax,19
negamax,0
minimax,0,2
minimax,0,2
minimax,0,2
minimax,0,2
minimax,0,1
minimax,0,1
minimax,0,1
minimax,0,1
negamax,1,1
negamax,1,1
negamax,1,1
negamax,1,1
negamax,1,1
negamax,1,1
negamax,1,1
negamax,1,1
negamax,1,1
minimax,16,vertical
minimax,16,vertical
minimax,16,vertical
minimax,16,vertical
negamax,17,lrd
minimax,11,vertical
minimax,11,vertical
negamax,17,lrd
minimax,19,lru
minimax,19,lru
minimax,17,vertical
negamax,14,vertical
negamax,14,vertical
minimax,13,lrd
negamax,16,horizontal
random,3,horizontal
minimax,8,horizontal
minimax,15,horizontal
minimax,19,horizontal
minimax,23,horizontal
random,20,horizontal
minimax,15,horizontal
random,17,horizontal
minimax,21,lrd
minimax,20,lrd
minimax,13,horizontal
random,15,horizontal
minimax,15,vertical
minimax,18,horizontal
random,14,horizontal
random,7,horizontal
minimax,19,vertical
minimax,14,horizontal
minimax,17,lru
minimax,24,vertical
random,10,horizontal
random,18,vertical
random mover,17,vertical
random,13,horizontal
random,13,vertical
random mover,18,horizontal
random,17,lrd
minimax,13,vertical
minimax,7,horizontal
minimax,11,vertical
negamax,14,vertical,5
